judul,sumber,tanggal,episode,label_leksikon,label_audit
Zulhas Resmi Buka Keran Ekspor Pasir Laut Usai 20 Tahun Dilarang,lajur.co,2024-09-14 07:00:00,E3_ekspor_dibuka,netral,
"Ekspor Pasir Laut Dibuka, Nelayan di Serang Khawatir Sejarah Kelam di Masa Lalu Terulang",Tribunbanten.com,2023-06-23 07:00:00,E1_pp_disahkan,menolak,
Bahtsul Masail: PWNU Jabar Putuskan Hukum Ekspor Pasir Laut Haram,NU Online Jabar,2023-08-01 07:00:00,E1_pp_disahkan,menolak,
"Muara Sungai Cokroyasan Purworejo Tertutup Pasir Laut, Sawah Beberapa Desa Tergenang Air",Kompas.com,2025-09-17 07:00:00,E4_pasca_putusan_ma,netral,
"Pasir Laut Dikeruk, Kehidupan Nelayan Ikut Tergerus",Rmol.id,2024-09-19 07:00:00,E3_ekspor_dibuka,menolak,
"Sawah Tercemari Limbah Tambang Pasir, Petani Lebak Tuntut Perbaikan",detikNews,2022-01-12 08:00:00,E0_sebelum_pp,menolak,
Riset WALHI: Perubahan Iklim dan Tambang Pasir Laut Picu Terjadinya Pelanggaran HAM pada Perempuan di Sulsel,Mongabay.co.id,2023-12-01 08:00:00,E1_pp_disahkan,menolak,
Lebih dari 100 Nelayan Buru Tolak Penambangan Sedimentasi Laut,Jawa Pos,2026-07-23 07:00:00,E4_pasca_putusan_ma,menolak,
"Kasus Tambang Pasir Laut, Mantan Kepala Badan Pengelolaan Keuangan Takalar Jadi Tersangka",Mongabay.co.id,2023-04-15 07:00:00,E0_sebelum_pp,netral,
Ramai-Ramai Tolak Pemanfaatan Hasil Sedimentasi Laut,betahita.id,2023-06-02 07:00:00,E1_pp_disahkan,menolak,
Ekspor Pasir Laut Dibuka: Kerusakan Ekosistem di Depan Mata,Forest Digest,2024-09-26 07:00:00,E3_ekspor_dibuka,menolak,
Majelis Tasbih UNIDA: Dampak Lingkungan Penambangan Pasir Laut bagi Wilayah Pesisir dan Pulau-pulau Kecil,unida.ac.id,2024-11-01 10:01:20,E3_ekspor_dibuka,netral,
LBH Muhammadiyah: Putusan MA Larang Pemerintah Ekspor Pasir Laut Jadi Sejarah Peradilan Lingkungan,AJNN.net,2025-06-30 07:00:00,E4_pasca_putusan_ma,menolak,
"Dikritik Banyak Pihak karena Kembali Buka Keran Ekspor Sedimen Laut, Kemendag: KKP Motor Utamanya",Tribunnews.com,2024-09-23 07:00:00,E3_ekspor_dibuka,menolak,
KKP Setop Permanen Penambangan Pasir di Pulau Rupat,Kompas.com,2023-06-21 07:00:00,E1_pp_disahkan,netral,
Alasan Kebijakan Ekspor Pasir Laut Diduga Demi Kepentingan Investor Singapura,Tempo.co,2023-06-15 07:00:00,E1_pp_disahkan,menolak,
"Ingkar Janji Manajemen Mawatu Resort untuk Wawancara Soal Penambangan Pasir Laut Ilegal; dari Minta Jurnalis Tunggu, hingga Klaim Sedang di Jakarta",Floresa.co,2025-03-18 07:00:00,E3_ekspor_dibuka,menolak,
